Student_ID,Student_Age,Sex,High_School_Type,Scholarship_Type,Additional_Work,Art_Sport_Activity,Have_Partner,Total_Salary,Transport_Type,Accommodation_Type,Mother_Education,Father_Education,Number_Siblings,Parental_Status,Mother_Occupation,Father_Occupation,Weekly_Study_Hours,Reading_Freq_NonScientific,Reading_Freq_Scientific,Department_Seminar_Attendance,Project_Impact_Success,Class_Attendance,Preparation_Midterm1,Preparation_Midterm2,Taking_Notes,Listening_Classes,Discussion_Interest_Success,Flip_Classroom,GPA_Last_Semester,Expected_GPA_Graduation,GRADE,Grade_Grouped
STUDENT1,2,2,3,3,1,2,2,1,1,1,1,2,3,1,2,5,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1,Bajo
STUDENT2,2,2,3,3,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2,1,1,1,1,1,3,2,3,2,2,3,1,Bajo
STUDENT3,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,Bajo
STUDENT4,1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,Bajo
STUDENT5,2,2,1,3,2,2,1,3,1,4,3,3,2,1,2,4,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,Bajo
STUDENT6,2,2,2,3,2,2,2,2,1,1,3,3,2,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,4,4,2,Bajo
STUDENT7,1,2,2,4,2,2,2,1,1,3,1,3,1,1,2,4,2,2,2,2,1,2,1,1,3,3,3,3,4,4,5,Alto
STUDENT8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2,1,1,1,3,1,3,2,2,1,1,1,2,Bajo
STUDENT9,2,1,3,3,2,1,1,1,1,3,2,4,2,1,2,4,1,2,2,1,1,1,1,1,3,2,2,2,4,3,5,Alto
STUDENT10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2,1,1,2,1,1,2,2,2,2,1,2,0,Bajo
STUDENT11,1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,Bajo
STUDENT12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3,1,3,1,3,2,3,1,3,3,4,3,0,Bajo
STUDENT13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2,1,1,1,1,1,2,2,2,3,4,2,0,Bajo
STUDENT14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1,1,1,2,1,1,3,2,3,3,4,2,1,Bajo
STUDENT15,3,2,2,4,1,1,2,3,4,2,3,1,2,1,4,1,2,2,2,1,1,1,1,1,2,3,2,1,4,4,2,Bajo
STUDENT16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2,2,3,2,1,1,3,2,2,3,2,2,2,Bajo
STUDENT17,1,1,2,5,2,1,2,1,1,1,2,2,4,1,2,3,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1,Bajo
STUDENT18,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,Bajo
STUDENT19,1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2,2,1,2,1,1,3,1,3,3,3,3,2,Bajo
STUDENT20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2,1,2,1,1,1,3,2,2,3,2,3,3,Bajo
STUDENT21,1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2,2,1,1,1,2,3,1,2,3,4,4,1,Bajo
STUDENT22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1,Bajo
STUDENT23,2,2,2,3,1,2,1,1,1,1,1,1,4,2,2,4,3,3,3,1,1,1,1,2,3,1,2,3,3,3,3,Bajo
STUDENT24,3,2,2,2,1,1,2,5,1,1,1,4,3,1,2,1,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1,Bajo
STUDENT25,2,2,2,3,2,2,2,2,1,1,3,1,3,1,2,4,1,2,2,1,1,1,1,1,2,1,3,2,4,4,2,Bajo
STUDENT26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2,1,1,1,1,1,2,1,3,2,1,2,3,Bajo
STUDENT27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2,1,1,1,1,1,3,3,3,2,2,1,1,Bajo
STUDENT28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1,Bajo
STUDENT29,3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2,1,1,1,1,1,3,2,3,3,5,4,3,Bajo
STUDENT30,2,2,3,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,2,2,4,3,5,Alto
STUDENT31,2,2,2,5,1,1,1,1,1,2,1,1,5,1,2,4,2,2,2,1,1,1,2,1,2,3,3,3,5,4,5,Alto
STUDENT32,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,3,Bajo
STUDENT33,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1,Bajo
STUDENT34,2,1,2,3,1,2,1,1,1,1,1,2,5,1,2,3,2,1,2,1,1,1,1,1,1,3,2,2,2,3,2,Bajo
STUDENT35,1,2,1,3,2,2,1,2,1,1,3,3,3,1,2,4,2,1,1,1,1,2,1,1,2,2,3,1,4,1,2,Bajo
STUDENT36,1,2,1,4,2,2,2,3,1,1,1,2,5,1,2,3,2,2,2,1,1,2,1,1,2,1,3,1,1,1,1,Bajo
STUDENT37,2,2,3,4,1,2,1,3,1,1,1,1,2,2,4,3,1,1,3,1,1,2,2,1,2,1,2,1,4,3,2,Bajo
STUDENT38,2,2,2,3,1,1,1,2,2,3,3,3,1,1,2,3,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,Bajo
STUDENT39,2,2,2,5,2,2,2,1,1,1,3,3,1,1,2,4,3,2,2,1,1,1,2,1,2,2,2,2,4,3,2,Bajo
STUDENT40,2,1,2,3,2,2,1,1,1,2,1,3,1,1,2,4,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1,Bajo
STUDENT41,1,2,1,3,2,2,2,2,1,1,2,3,1,1,2,5,1,2,2,1,1,1,1,1,3,1,2,1,2,3,1,Bajo
STUDENT42,3,2,2,3,1,2,2,2,1,2,1,4,2,1,2,2,3,2,2,1,1,2,1,1,3,2,2,3,4,3,1,Bajo
STUDENT43,2,2,2,3,2,1,2,1,4,2,4,4,2,1,3,1,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1,Bajo
STUDENT44,1,2,2,3,2,2,1,1,1,1,2,3,3,1,2,1,2,2,2,1,1,2,1,1,3,1,3,3,3,2,4,Alto
STUDENT45,2,2,3,3,2,2,1,1,1,1,1,3,2,1,2,5,2,2,2,1,1,1,2,1,3,2,2,1,4,3,1,Bajo
STUDENT46,1,2,2,3,2,2,1,4,1,1,2,3,5,1,2,4,3,2,2,1,1,1,1,1,2,2,2,1,4,3,3,Bajo
STUDENT47,2,2,2,3,2,2,1,1,1,1,1,2,3,1,2,5,2,2,2,1,1,1,1,1,2,2,3,1,4,2,5,Alto
STUDENT48,2,2,2,3,2,2,1,1,1,2,4,3,1,1,5,4,2,2,2,1,1,2,1,1,2,1,3,2,5,3,3,Bajo
STUDENT49,1,2,2,3,2,1,1,1,1,2,3,3,3,1,2,2,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1,Bajo
STUDENT50,1,2,1,4,2,2,2,2,4,1,2,3,2,1,2,4,2,2,2,1,1,1,2,1,2,2,2,1,3,2,2,Bajo
STUDENT51,2,2,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1,Bajo
STUDENT52,2,1,3,3,1,1,2,1,1,1,1,2,5,1,2,1,1,2,2,1,1,2,1,1,2,3,3,1,3,3,4,Alto
STUDENT53,2,1,2,3,1,2,2,2,1,1,1,3,4,1,2,1,3,1,1,1,1,1,1,2,2,2,2,1,4,2,1,Bajo
STUDENT54,2,1,2,3,2,1,2,2,1,1,1,1,5,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,3,2,5,Alto
STUDENT55,2,2,2,3,2,2,2,3,4,2,1,4,2,1,4,2,2,1,1,1,1,1,1,2,3,1,3,1,5,3,3,Bajo
STUDENT56,3,2,2,3,1,2,1,4,1,2,1,1,5,3,2,1,1,2,2,1,1,1,3,3,1,3,3,3,5,4,3,Bajo
STUDENT57,2,2,2,3,2,1,2,1,1,1,1,3,5,1,2,4,4,2,3,1,1,1,1,2,3,2,3,3,5,4,5,Alto
STUDENT58,2,2,2,3,1,1,2,1,1,1,4,2,3,1,3,3,2,3,2,1,1,1,1,1,3,2,3,1,5,4,4,Alto
STUDENT59,3,2,2,3,2,2,1,3,1,1,1,3,5,2,2,1,3,2,2,1,1,1,1,1,3,2,2,2,5,4,3,Bajo
STUDENT60,2,2,2,3,2,1,1,1,1,1,4,4,3,1,2,3,3,2,2,1,1,1,1,1,3,3,2,2,4,3,5,Alto
STUDENT61,2,1,2,3,2,2,2,5,2,1,6,1,3,1,2,3,1,2,2,1,1,1,1,1,1,3,3,1,2,1,2,Bajo
STUDENT62,1,2,3,3,2,1,2,2,1,2,1,3,4,1,2,3,3,1,2,1,3,2,1,1,3,2,2,2,4,4,5,Alto
STUDENT63,2,2,2,3,2,2,2,1,4,2,2,3,2,1,2,4,3,2,2,1,1,1,1,1,2,3,3,2,5,4,3,Bajo
STUDENT64,2,2,2,4,2,2,1,2,1,1,1,3,3,1,2,1,1,1,2,1,1,1,3,1,2,2,2,1,3,3,5,Alto
STUDENT65,2,2,3,5,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,3,1,2,1,3,2,3,1,4,3,3,Bajo
STUDENT66,1,2,2,3,2,2,1,3,1,1,2,4,3,1,2,4,1,1,2,1,3,2,2,1,2,1,2,1,2,2,2,Bajo
STUDENT67,2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,2,1,1,1,1,1,3,2,2,3,5,4,5,Alto
STUDENT68,2,2,3,3,1,1,2,3,1,2,3,4,4,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,3,1,Bajo
STUDENT69,2,1,2,4,1,2,2,1,1,1,2,3,5,3,2,5,1,2,2,1,1,2,1,1,2,2,3,2,4,3,5,Alto
STUDENT70,2,1,2,4,2,2,1,1,1,1,2,2,2,1,2,3,1,1,2,1,1,1,2,1,3,2,3,1,3,2,5,Alto
STUDENT71,1,2,2,4,2,1,1,1,1,1,4,3,1,2,4,2,2,2,2,1,1,1,1,1,2,2,3,1,5,4,7,Alto
STUDENT72,1,1,3,4,2,2,2,1,1,3,1,3,5,1,2,4,2,2,1,1,1,1,1,1,2,3,3,3,2,2,6,Alto
STUDENT73,1,2,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,3,2,3,3,6,Alto
STUDENT74,2,2,2,4,2,2,2,1,1,2,1,3,4,1,2,4,3,1,1,2,1,1,1,2,3,2,3,1,5,3,6,Alto
STUDENT75,1,2,2,4,2,2,2,1,1,1,2,2,3,1,2,1,2,2,2,2,1,1,2,1,3,2,3,2,3,3,7,Alto
STUDENT76,1,2,2,4,2,1,2,1,1,3,1,5,4,1,2,2,3,3,1,1,1,1,1,1,2,2,2,2,4,1,7,Alto
STUDENT77,2,2,1,2,2,1,2,2,1,1,5,4,3,1,4,3,2,3,2,1,1,1,3,2,2,1,2,3,2,2,4,Alto
STUDENT78,1,2,1,2,2,2,1,2,2,2,6,5,2,1,4,2,2,2,2,2,1,2,3,1,2,2,2,2,1,1,7,Alto
STUDENT79,2,1,2,4,1,1,2,1,1,1,1,3,4,1,2,4,2,3,3,1,1,2,1,1,3,3,2,2,2,2,4,Alto
STUDENT80,2,2,2,4,2,2,2,1,1,1,1,3,4,1,2,4,1,2,2,1,3,1,1,1,3,3,3,2,4,4,3,Bajo
STUDENT81,2,1,2,3,1,2,1,1,2,1,1,1,2,1,2,3,1,1,1,1,3,1,1,1,2,3,1,2,4,2,4,Alto
STUDENT82,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,2,1,1,1,1,1,3,3,2,3,5,4,3,Bajo
STUDENT83,2,2,2,4,1,2,1,2,1,1,3,1,3,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,7,Alto
STUDENT84,2,2,3,3,2,2,2,3,1,1,4,4,2,1,1,2,1,2,2,1,1,1,3,1,3,2,3,3,1,2,7,Alto
STUDENT85,3,2,3,3,1,2,1,3,1,2,4,2,5,3,2,1,1,2,2,1,1,1,3,3,3,3,3,3,5,4,7,Alto
STUDENT86,1,2,2,5,2,2,2,2,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,3,2,3,3,4,3,4,Alto
STUDENT87,2,2,2,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,3,2,5,4,5,Alto
STUDENT88,2,2,2,3,2,1,2,2,1,1,3,4,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,6,Alto
STUDENT89,1,2,2,4,2,1,1,1,1,1,4,4,1,1,3,2,2,2,2,1,1,1,1,2,3,1,2,3,5,3,6,Alto
STUDENT90,2,2,2,3,2,2,2,1,1,1,3,5,3,1,2,2,2,2,2,1,1,2,1,1,3,1,3,3,3,2,6,Alto
STUDENT91,2,1,2,3,2,1,1,1,2,3,3,3,1,1,4,2,2,2,2,1,1,1,1,1,2,3,2,3,4,2,6,Alto
STUDENT92,2,2,2,5,1,1,1,1,1,2,4,1,5,1,2,3,2,2,2,1,1,1,1,1,2,3,3,2,5,4,6,Alto
STUDENT93,1,2,2,3,2,2,2,1,1,1,3,4,4,1,3,2,3,2,2,1,1,1,1,1,3,2,3,3,2,2,7,Alto
STUDENT94,1,2,2,1,1,2,1,1,1,2,1,2,4,1,2,3,5,2,1,1,1,1,1,1,3,3,3,2,2,2,4,Alto
STUDENT95,2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,3,1,1,1,1,1,3,2,2,3,5,4,6,Alto
STUDENT96,1,2,3,5,1,1,1,1,2,3,3,4,1,1,2,1,2,2,3,1,1,1,1,1,3,2,2,1,4,3,5,Alto
STUDENT97,1,2,2,4,2,1,1,1,2,3,2,2,3,1,4,2,2,3,2,1,1,1,1,1,3,2,3,2,2,3,7,Alto
STUDENT98,1,2,2,4,1,2,2,1,1,3,3,3,4,1,2,3,2,2,2,1,1,1,1,1,3,2,2,1,3,3,6,Alto
STUDENT99,1,2,2,4,2,1,2,1,4,2,2,4,2,1,2,5,2,3,2,1,1,1,1,1,3,1,2,1,4,4,7,Alto
STUDENT100,2,2,2,3,2,2,2,1,4,2,3,4,2,1,2,1,3,2,2,1,1,1,1,1,3,2,3,2,2,2,7,Alto
STUDENT101,1,2,2,4,2,2,2,1,2,3,4,1,2,1,3,3,2,2,2,1,1,1,1,1,2,2,2,1,3,3,6,Alto
STUDENT102,1,2,2,4,2,2,1,2,1,3,2,3,1,1,2,4,2,2,2,1,1,1,1,1,3,3,2,1,2,3,7,Alto
STUDENT103,1,2,2,3,2,2,1,1,1,2,3,1,1,2,4,4,2,2,2,2,1,1,1,1,3,1,2,1,3,4,7,Alto
STUDENT104,1,2,1,4,2,2,1,5,1,2,1,3,4,1,2,1,2,3,2,1,1,1,1,1,2,2,3,2,4,4,7,Alto
STUDENT105,1,1,2,3,2,2,2,1,2,2,4,4,1,1,3,2,2,2,2,1,1,1,1,1,2,3,2,2,1,1,3,Bajo
STUDENT106,1,2,2,4,1,1,2,1,1,1,2,2,4,1,2,4,2,3,2,1,1,2,1,2,2,1,3,1,3,3,7,Alto
STUDENT107,1,2,2,4,2,1,2,1,1,2,2,2,1,1,2,1,3,2,2,1,1,1,3,2,2,2,2,1,4,4,7,Alto
STUDENT108,1,1,2,4,1,1,2,1,1,3,1,3,5,1,2,4,2,2,2,1,1,1,2,1,2,3,2,1,4,2,6,Alto
STUDENT109,2,1,1,5,2,1,2,2,2,1,1,2,1,3,1,5,3,3,2,1,1,2,1,1,2,3,1,2,3,3,6,Alto
STUDENT110,1,2,1,3,2,1,1,1,2,2,4,4,2,3,2,5,3,2,2,1,1,1,2,2,3,2,3,1,4,4,7,Alto
STUDENT111,2,2,2,3,2,2,2,2,4,2,4,4,2,2,1,5,2,2,2,1,1,2,1,1,2,2,2,1,2,3,2,Bajo
STUDENT112,1,1,1,5,2,1,2,1,1,2,3,3,1,1,3,2,1,2,2,2,2,1,1,1,3,1,3,3,4,3,2,Bajo
STUDENT113,2,1,3,3,1,2,2,1,3,3,1,1,2,1,2,1,1,1,1,2,3,1,2,1,3,3,3,1,4,2,2,Bajo
STUDENT114,2,1,3,3,2,2,2,1,4,2,4,4,1,1,3,2,2,2,3,2,3,2,2,1,2,2,1,1,1,2,1,Bajo
STUDENT115,2,1,2,5,1,1,2,4,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,Bajo
STUDENT116,2,1,2,5,1,2,1,1,1,1,1,1,2,1,2,2,3,3,2,2,3,1,2,2,3,2,3,2,2,2,1,Bajo
STUDENT117,2,1,2,5,2,2,2,1,1,1,1,1,5,1,2,4,3,3,3,2,1,1,1,1,3,3,3,1,2,3,1,Bajo
STUDENT118,3,1,1,3,2,1,2,1,1,2,4,4,1,1,1,3,2,2,3,2,1,2,1,1,2,3,2,1,2,3,1,Bajo
STUDENT119,1,2,2,5,2,1,1,1,4,2,1,2,3,1,4,4,1,2,2,1,1,1,3,1,3,3,2,2,3,3,1,Bajo
STUDENT120,2,1,2,4,2,1,2,1,1,2,3,3,2,3,2,5,5,2,2,1,1,1,1,2,2,2,3,1,3,3,2,Bajo
STUDENT121,2,1,1,3,1,1,1,2,2,3,3,3,2,1,3,4,1,1,1,1,1,2,2,1,3,3,3,2,2,2,1,Bajo
STUDENT122,2,1,2,3,1,1,1,1,2,1,1,1,5,3,2,4,5,3,3,1,3,1,2,1,1,1,1,1,1,1,0,Bajo
STUDENT123,1,2,2,5,2,1,2,1,1,1,3,3,2,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,4,3,2,Bajo
STUDENT124,2,1,3,3,2,2,2,3,1,1,3,2,4,1,1,1,2,2,3,2,1,1,1,1,3,3,2,1,1,1,1,Bajo
STUDENT125,1,1,2,4,1,1,1,1,1,3,2,3,2,1,4,3,4,2,2,2,1,1,2,2,3,3,2,1,3,3,3,Bajo
STUDENT126,1,1,2,5,1,1,2,1,1,3,1,1,5,1,2,3,3,2,3,2,1,1,1,2,3,2,3,1,1,3,2,Bajo
STUDENT127,1,1,1,4,1,1,1,3,2,3,4,6,2,1,4,3,4,2,3,1,1,1,2,1,3,3,3,1,2,2,3,Bajo
STUDENT128,1,1,2,4,2,2,2,1,4,3,3,2,2,1,3,4,2,1,1,2,1,1,1,1,3,2,2,1,2,2,1,Bajo
STUDENT129,1,1,2,4,2,1,1,1,4,3,3,4,2,1,4,2,2,1,1,2,1,1,1,1,3,2,2,1,2,2,0,Bajo
STUDENT130,1,1,2,3,1,1,2,1,1,1,1,1,3,1,2,4,4,2,3,2,1,1,2,2,3,2,3,2,2,3,3,Bajo
STUDENT131,1,1,2,3,1,1,2,1,1,1,1,2,3,1,2,4,4,2,2,2,1,1,1,2,3,1,3,2,2,3,1,Bajo
STUDENT132,1,1,1,5,2,1,2,1,2,2,4,3,1,1,3,2,4,1,3,2,1,1,1,2,3,2,3,1,5,3,4,Alto
STUDENT133,1,1,1,5,2,1,2,1,1,2,1,2,3,1,2,1,2,2,3,2,1,1,2,1,3,2,3,1,5,4,3,Bajo
STUDENT134,1,1,2,5,2,2,1,1,1,1,1,1,1,1,2,3,3,1,2,2,1,1,1,1,3,3,3,2,5,3,3,Bajo
STUDENT135,1,1,2,4,2,1,2,1,2,3,1,1,2,1,4,3,2,2,2,2,1,1,1,1,2,1,2,1,2,3,1,Bajo
STUDENT136,2,1,2,3,1,1,2,1,4,2,3,3,1,1,2,1,2,3,2,1,3,1,1,1,3,3,2,1,3,2,2,Bajo
STUDENT137,1,1,2,3,1,1,1,1,2,3,3,3,3,1,3,4,2,2,2,2,1,1,3,1,3,2,2,1,2,2,0,Bajo
STUDENT138,1,1,1,5,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,3,1,2,4,2,Bajo
STUDENT139,1,1,2,4,1,1,1,5,2,3,3,1,1,2,4,5,2,2,3,2,3,1,2,1,3,2,3,1,1,3,0,Bajo
STUDENT140,1,1,2,4,1,2,1,2,2,3,3,3,1,1,5,4,1,1,2,2,1,2,2,1,2,3,2,1,1,2,0,Bajo
STUDENT141,2,1,2,3,1,1,2,1,1,2,1,2,2,2,2,4,3,3,2,1,1,1,1,1,2,1,2,1,3,3,5,Alto
STUDENT142,1,1,2,4,2,2,2,1,4,2,1,1,5,1,2,1,3,2,2,2,1,2,1,1,3,2,2,1,5,3,5,Alto
STUDENT143,1,1,1,4,2,2,2,1,1,1,3,4,4,1,2,4,2,2,2,1,1,1,1,1,3,3,2,1,4,3,1,Bajo
STUDENT144,2,1,2,4,1,1,1,5,2,3,4,4,1,1,3,3,2,2,1,1,1,1,2,1,2,1,2,1,5,3,4,Alto
STUDENT145,1,1,1,5,2,2,2,3,1,1,3,1,5,1,2,4,3,1,1,1,1,1,2,1,3,2,3,1,5,4,3,Bajo
